"","NA.","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H"
"41",NA,2,2,2,1,1,2,0,1,0,1,2,1,1,1,2,1,1,0,1,1,1,1,2,0,2,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,0,2,0,1,1,1,1,1,1,1,2,0,1,1,1,2,2,2,1,1,1,1,1,2,1,1,2,0,1,1,1,2,1
"42",NA,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,0,2,1,1,1,0,1,1,1,2,1,1,1,0,2,1,1,1,1,1,1,1,2,0,1,1,1,1,2,1,2,2,2,2,1,1,2,1,1,0,2,1,2,0,1,1,1,1,1
"43",NA,1,1,1,1,1,2,0,1,0,1,1,2,1,1,1,1,2,0,0,1,1,1,2,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,0,2,1,1,2,2,1,1,2,1,1,1,2,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,0,1,1,1,2,2,1,1
"44",NA,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,2,1,2,1,2,0,2,1,1,1,1,1,0,1,1,1,1,2,1,1,2,2,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,0,2,1,1,0,1,1,2,1,1,1,1,2,1,1,2,0,1,1,1,1,2,1,1
"45",NA,2,1,2,1,1,2,1,0,1,1,1,2,1,0,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,2,0,1,2,1,1,2,1,1,1,1,2,1,0,1,1,1,2,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,2,1,1,1,1,2,1,1,2,2,1,0,2,1,1,1,1,1,2,2,1
"46",NA,2,1,1,1,1,2,0,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,0,2,1,1,1,2,0,1,2,1,2,0,1,1,1,1,1,1,1,0,2,1,1,1,1,1,2,1,2,2,1,2,1,1,2,1,1,1,1,1,0,2,2,1,1,2,1,2,1,1,1,1,2,2,1
"47",NA,1,1,2,1,2,1,1,1,0,1,1,1,0,1,2,1,1,0,1,2,1,1,2,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,2,1,1,1,1,2,1,1,1,1,0,1,2,1,0,1,1,0,1,2,2,0,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"48",NA,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,2,1,0,1,1,0,0,2,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,2,1,1
"49",NA,2,1,1,1,0,1,1,0,1,1,0,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,0,0,1,1,2,1,1,1,1,0,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,0,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,2,2,1,1,1,2,1,1,1,1,2,1,1,0,1,1,1,2,1,1,1,1,1,1
"50",NA,0,1,1,1,1,1,0,1,0,1,1,1,1,1,2,1,0,0,0,1,1,0,2,0,1,1,1,1,2,1,1,1,1,1,0,1,1,0,2,1,0,1,2,1,1,1,1,1,0,2,2,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,2,1,0,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,0,2,1,1,1,1,1,1,0
